id_estabelecimento_cnes,cep,logradouro,bairro,latitude,longitude
6135471,03676040,Rua Breno Acioli,Jardim Tres Marias,-23.52048710538251,-46.49378002983892
3446867,04751030,Praca Floriano Peixoto,Vila Campos Sales,-23.65165020853072,-46.707645611413724
2788896,03359110,Rua Tirana,Vila Formosa,-23.565553634721578,-46.546734419999076
2788551,04836130,Avenida Carlos Oberhuber,Jardim Floresta,-23.74361697518258,-46.711015446422714
2787210,05583070,Rua Candido Fontoura,Jardim Boa Vista,-23.583940689609463,-46.794800580434206
2789167,02932110,Rua Dom Manuel D Elboux,Pirituba,-23.487401279237968,-46.712142429734406
6143180,03726100,Rua Augusto Correa Leite,Cangaiba,-23.500642394566423,-46.51714362502498
6133541,04913120,Rua Dinar,Jardim Bandeirantes,-23.681041141126915,-46.73838983326807
2789272,02975120,Rua Monsenhor Manoel Gomes,Pirituba,-23.478837157289966,-46.710719098190694
2088355,02113012,Avenida Guilherme Cotching,Vila Maria,-23.521811455814635,-46.592353829610936
6148360,02541070,Rua Oscar De Moura Lacerda,Imirim,-23.48660247951304,-46.655276205925944
2788535,03958000,Rua Angelo De Candia,Sao Mateus,-23.59851951108001,-46.48338889411096
2774771,08490600,Rua Dos Texteis,Cidade Tiradentes,-23.59099098440378,-46.400766621237345
2787814,04884210,Rua Domenico Lanzetti,Jardim Sao Norberto,-23.82001020328416,-46.70474066837395
6141706,02872000,Rua Jose Da Costa Gaviao,Brasilandia,-23.461634538782864,-46.67346957128892
2787393,05849340,Rua Joao Fugulin,Jardim Germania,-23.654038351867662,-46.75761475039502
2819856,08072180,Rua Rio Da Madre,Uniao De Vila Nova,-23.485912729108914,-46.460003562949026
2787938,01259030,Rua Saramenha,Sumare,-23.539442333809603,-46.689721648548534
2027526,08142000,Rua Itajuibe,Itaim Paulista,-23.509161127695997,-46.38471077983101
6135404,08280000,Avenida Doutor Francisco Munhoz Filho,Cidade Lider,-23.553965191205236,-46.4650033764037
2057328,01532030,Rua Jupiter,Aclimacao,-23.572579636172822,-46.63495303139918
2786885,05142120,Rua Padre Guido Del Toro,Jardim Felicidade,-23.49450900958491,-46.72657875741713
2079658,02467060,Rua Diogo Cabrera,Imirim,-23.49157867350103,-46.64558556796438
5420938,08471000,Avenida Dos Metalurgicos,Cidade Tiradentes,-23.592253658012016,-46.40663080883535
3185613,05858001,Estrada De Itapecerica,Jardim Aurelio,-23.659976087843503,-46.77259961601201
5949629,03533003,Avenida Waldemar Carlos Pereira,Vila Matilde,-23.545816433076826,-46.51339043546175
3326578,04025010,Rua Leandro Dupret,Vila Clementino,-23.59541684935145,-46.64639465717391
5113970,02113013,Avenida Guilherme Cotching,Vila Maria Baixa,-23.5188612558144,-46.59025328357446
3307026,02734000,Avenida Itaberaba,Nossa Senhora Do O,-23.496019248416534,-46.69746521097305
5884543,02402000,Rua Deputado Gouveia Franco,Mandaqui,-23.481976244572813,-46.63229062704432
3381544,01125001,Rua Da Graca,Bom Retiro,-23.526906690032547,-46.64000777784766
3293971,05002061,Rua Dona Germaine Burchard,Barra Funda,-23.529001700435614,-46.671823848488025
